Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,99.0,-0.2348632,-0.5616161516218474,-0.5616161516218474,1.0
20000,1.4189384,99.0,-0.22857893,-0.6039999902248383,-0.6039999902248383,1.0
30000,1.4189383,99.0,-0.18045026,-0.4330000019073486,-0.4330000019073486,1.0
40000,1.4191062,99.0,-0.2051494,-0.5869999921321869,-0.5869999921321869,1.0
50000,1.4191061,99.0,-0.2128556,-0.4930000114440918,-0.4930000114440918,1.0
60000,1.4192826,99.0,-0.19627905,-0.5859999883174897,-0.5859999883174897,1.0
70000,1.4192827,99.0,-0.21418649,-0.5950000035762787,-0.5950000035762787,1.0
80000,1.4182779,99.0,-0.2971152,-0.7299999895691872,-0.7299999895691872,1.0
90000,1.4182779,99.0,-0.25852728,-0.19099999368190765,-0.19099999368190765,1.0
100000,1.4165615,99.0,-0.2793886,-1.080000017285347,-1.080000017285347,1.0
110000,1.4165614,99.0,-0.28799218,-0.4619999992847443,-0.4619999992847443,1.0
120000,1.41727,99.0,-0.30739468,-0.38599999964237214,-0.38599999964237214,1.0
130000,1.4172701,99.0,-0.2722094,-0.145999995470047,-0.145999995470047,1.0
140000,1.4176826,99.0,-0.25444552,-0.2170000010728836,-0.2170000010728836,1.0
150000,1.4176826,99.0,-0.2506963,0.01799999475479126,0.01799999475479126,1.0
160000,1.4158307,99.0,-0.22354893,-0.28100001096725463,-0.28100001096725463,1.0
170000,1.4158306,99.0,-0.21901554,-0.5820000112056732,-0.5820000112056732,1.0
180000,1.4147882,99.0,-0.23448277,-0.15800000071525575,-0.15800000071525575,1.0
190000,1.414788,99.0,-0.21339983,-0.014000000953674317,-0.014000000953674317,1.0
200000,1.4146253,99.0,-0.21487285,-0.17500000238418578,-0.17500000238418578,1.0
210000,1.4145806,99.0,-0.2177509,-0.043999998569488524,-0.043999998569488524,1.0
220000,1.4145803,99.0,-0.2084404,-0.1290000033378601,-0.1290000033378601,1.0
230000,1.4146855,99.0,-0.19967636,-0.18300001621246337,-0.18300001621246337,1.0
240000,1.414694,99.0,-0.17897055,-0.08100000143051148,-0.08100000143051148,1.0
250000,1.414694,99.0,-0.14705588,-0.026999999284744263,-0.026999999284744263,1.0
260000,1.4117501,99.0,-0.13235788,-0.3119999980926514,-0.3119999980926514,1.0
270000,1.4117501,99.0,-0.13844052,0.175999995470047,0.175999995470047,1.0
280000,1.4104016,99.0,-0.15067863,-0.1949999988079071,-0.1949999988079071,1.0
290000,1.4104017,99.0,-0.11822211,0.055000001788139345,0.055000001788139345,1.0
300000,1.4101063,99.0,-0.09902301,0.14800000190734863,0.14800000190734863,1.0
310000,1.4101064,99.0,-0.111407995,-0.5120000118017196,-0.5120000118017196,1.0
320000,1.4117242,99.0,-0.1303435,-0.41299999356269834,-0.41299999356269834,1.0
330000,1.4117243,99.0,-0.12793139,0.03300000309944153,0.03300000309944153,1.0
340000,1.4107943,99.0,-0.090266876,-0.16200000524520874,-0.16200000524520874,1.0
350000,1.410794,99.0,-0.058646463,0.2779999983310699,0.2779999983310699,1.0
360000,1.4108002,99.0,-0.07149395,0.017000002861022948,0.017000002861022948,1.0
370000,1.4108003,99.0,-0.085843906,-0.14500000357627868,-0.14500000357627868,1.0
380000,1.4106997,99.0,-0.039057948,0.2159999918937683,0.2159999918937683,1.0
390000,1.4106997,99.0,-0.056861207,-0.06700000047683716,-0.06700000047683716,1.0
400000,1.4101799,99.0,-0.05829682,-0.09300000727176666,-0.09300000727176666,1.0
410000,1.4101797,99.0,-0.037348196,0.060999997556209565,0.060999997556209565,1.0
420000,1.4105371,99.0,-0.07110062,-0.08699999332427978,-0.08699999332427978,1.0
430000,1.4111663,99.0,-0.033443097,0.22199999272823334,0.22199999272823334,1.0
