Steps,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Entropy,Is Training
1510000,99.0,2.5437686,3.921000030040741,3.921000030040741,1.2783701,1.0
1520000,99.0,2.5692203,3.814000041484833,3.814000041484833,1.2783701,1.0
1530000,99.0,2.6143417,3.760000066757202,3.760000066757202,1.2754732,1.0
1540000,99.0,2.6006906,3.740000069141388,3.740000069141388,1.2754732,1.0
1550000,99.0,2.590841,3.9760000777244566,3.9760000777244566,1.2731807,1.0
1560000,99.0,2.612248,3.8920000529289247,3.8920000529289247,1.2730238,1.0
1570000,99.0,2.6097455,3.7830000388622285,3.7830000388622285,1.2710027,1.0
1580000,99.0,2.624491,3.7970000553131102,3.7970000553131102,1.2708356,1.0
1590000,99.0,2.6457582,3.9930000495910645,3.9930000495910645,1.2688626,1.0
1600000,99.0,2.587022,4.092000037431717,4.092000037431717,1.2668895,1.0
1610000,99.0,2.5721064,3.878000066280365,3.878000066280365,1.2656746,1.0
1620000,99.0,2.6014054,4.0640000474452975,4.0640000474452975,1.264106,1.0
1630000,99.0,2.5460503,3.7860000252723696,3.7860000252723696,1.2638426,1.0
1640000,99.0,2.5497296,3.6900000548362732,3.6900000548362732,1.2635257,1.0
1650000,99.0,2.622477,3.906000040769577,3.906000040769577,1.2635257,1.0
1660000,99.0,2.5672576,3.88600005030632,3.88600005030632,1.260898,1.0
1670000,99.0,2.523244,3.8540000414848326,3.8540000414848326,1.260898,1.0
1680000,99.0,2.4864905,4.1480000269412995,4.1480000269412995,1.2574925,1.0
1690000,99.0,2.4295435,4.2260000514984135,4.2260000514984135,1.2572334,1.0
1700000,99.0,2.5076342,3.98400004029274,3.98400004029274,1.254412,1.0
1710000,99.0,2.591057,3.936000075340271,3.936000075340271,1.254181,1.0
1720000,99.0,2.5848653,3.9910000586509704,3.9910000586509704,1.2534847,1.0
1730000,99.0,2.6259904,3.904000059366226,3.904000059366226,1.2527884,1.0
1740000,99.0,2.6212997,3.836000030040741,3.836000030040741,1.2520123,1.0
1750000,99.0,2.604566,3.929000060558319,3.929000060558319,1.2510129,1.0
1760000,99.0,2.6575866,3.5990000379085543,3.5990000379085543,1.2506016,1.0
1770000,99.0,2.6026185,3.93600004196167,3.93600004196167,1.250139,1.0
1780000,99.0,2.613671,3.8590000557899473,3.8590000557899473,1.250139,1.0
