Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,99.0,-0.6311591,-1.2525252525252526,-1.2525252525252526,1.0
20000,1.4189383,99.0,-0.6309244,-2.505,-2.505,1.0
30000,1.4169446,99.0,-0.6860073,-1.315,-1.315,1.0
40000,1.4169446,99.0,-0.68347394,-1.385,-1.385,1.0
50000,1.4143527,99.0,-0.73709595,-4.135,-4.135,1.0
60000,1.4143527,99.0,-0.71765083,-2.13,-2.13,1.0
70000,1.4143527,99.0,-0.75748587,-4.455,-4.455,1.0
80000,1.4140154,99.0,-0.7695459,-2.2,-2.2,1.0
90000,1.4145952,99.0,-0.8046128,-3.515,-3.515,1.0
100000,1.4145952,99.0,-0.858733,-0.815,-0.815,1.0
110000,1.4145954,99.0,-0.861083,-2.305,-2.305,1.0
120000,1.4142121,99.0,-0.9260404,-2.68,-2.68,1.0
130000,1.414212,99.0,-0.89794314,-2.38,-2.38,1.0
140000,1.4133489,99.0,-0.8653318,-1.175,-1.175,1.0
150000,1.4132661,99.0,-0.9440311,-1.265,-1.265,1.0
160000,1.4134089,99.0,-0.9697373,-3.085,-3.085,1.0
170000,1.4134089,99.0,-0.9584089,-2.235,-2.235,1.0
180000,1.4123269,99.0,-0.95161957,-2.51,-2.51,1.0
190000,1.4123269,99.0,-0.9024056,-1.59,-1.59,1.0
200000,1.4109013,99.0,-0.9284551,-0.945,-0.945,1.0
210000,1.4109014,99.0,-0.949119,-0.71,-0.71,1.0
220000,1.4109013,99.0,-1.0300627,-2.32,-2.32,1.0
230000,1.4108169,99.0,-0.7996047,-0.39,-0.39,1.0
240000,1.4105241,99.0,-0.7985125,-1.16,-1.16,1.0
250000,1.410524,99.0,-0.8056731,-0.72,-0.72,1.0
260000,1.4105242,99.0,-0.7675016,-0.755,-0.755,1.0
270000,1.4100453,99.0,-0.86414045,-2.12,-2.12,1.0
280000,1.4100454,99.0,-0.8559787,-2.07,-2.07,1.0
290000,1.4094945,99.0,-0.9567743,-1.73,-1.73,1.0
300000,1.4095825,99.0,-0.84796804,-1.36,-1.36,1.0
310000,1.4099141,99.0,-0.81393325,-0.815,-0.815,1.0
320000,1.409914,99.0,-0.7858912,0.02,0.02,1.0
330000,1.411276,99.0,-0.8152428,-4.935,-4.935,1.0
340000,1.411276,99.0,-0.82752603,-2.11,-2.11,1.0
350000,1.4116975,99.0,-0.8553871,-2.325,-2.325,1.0
360000,1.4116976,99.0,-0.83360636,-3.18,-3.18,1.0
370000,1.4116975,99.0,-0.80446225,-1.07,-1.07,1.0
380000,1.409854,99.0,-0.92057717,-2.545,-2.545,1.0
390000,1.4098085,99.0,-0.9810333,-2.365,-2.365,1.0
400000,1.4098086,99.0,-0.79060066,-2.06,-2.06,1.0
410000,1.4098085,99.0,-0.760906,-1.99,-1.99,1.0
420000,1.4122671,99.0,-0.93159604,-4.265,-4.265,1.0
430000,1.412267,99.0,-0.8785898,-2.565,-2.565,1.0
440000,1.4113731,99.0,-0.8244978,-0.225,-0.225,1.0
450000,1.4107279,99.0,-0.9971092,-3.125,-3.125,1.0
460000,1.4102967,99.0,-1.0208012,-4.42,-4.42,1.0
470000,1.4102968,99.0,-0.8763198,-1.455,-1.455,1.0
480000,1.4087085,99.0,-0.90491134,-3.52,-3.52,1.0
490000,1.4087086,99.0,-0.97851014,-1.725,-1.725,1.0
500000,1.4091148,99.0,-0.9619313,-2.995,-2.995,1.0
510000,1.4091148,99.0,-1.1085035,-3.325,-3.325,1.0
520000,1.4091148,99.0,-0.83278143,-2.095,-2.095,1.0
530000,1.4095299,99.0,-1.0152559,-3.45,-3.45,1.0
540000,1.407318,99.0,-0.9346846,-0.03,-0.03,1.0
550000,1.407318,99.0,-0.98591036,-1.48,-1.48,1.0
560000,1.407318,99.0,-1.2802738,-5.78,-5.78,1.0
570000,1.4046237,99.0,-1.0381579,-2.22,-2.22,1.0
580000,1.4046236,99.0,-1.0779487,-1.09,-1.09,1.0
590000,1.4025078,99.0,-1.1601448,-5.04,-5.04,1.0
600000,1.4020975,99.0,-1.173642,-1.275,-1.275,1.0
610000,1.4015305,99.0,-1.1116897,-1.515,-1.515,1.0
620000,1.4015305,99.0,-1.059186,-1.095,-1.095,1.0
630000,1.4014614,99.0,-1.1927342,-1.88,-1.88,1.0
640000,1.4014612,99.0,-1.0455745,-1.135,-1.135,1.0
650000,1.4014143,99.0,-1.1495216,-1.615,-1.615,1.0
660000,1.4014142,99.0,-1.0180154,-1.525,-1.525,1.0
670000,1.4014143,99.0,-1.0341874,-2.435,-2.435,1.0
680000,1.3988266,99.0,-1.1939675,-1.965,-1.965,1.0
690000,1.3973191,99.0,-1.157539,-0.965,-0.965,1.0
700000,1.3973191,99.0,-0.9760569,-2.41,-2.41,1.0
710000,1.3973192,99.0,-1.2786955,-1.95,-1.95,1.0
720000,1.396925,99.0,-1.1320412,-1.64,-1.64,1.0
730000,1.3969249,99.0,-1.1786458,-3.385,-3.385,1.0
