Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,99.0,-0.0651287,-0.39898989778576477,-0.39898989778576477,1.0
20000,1.4189383,99.0,-0.0675256,-0.37900000274181367,-0.37900000274181367,1.0
30000,1.4192142,99.0,-0.094476454,-0.3220000073313713,-0.3220000073313713,1.0
40000,1.4193223,99.0,-0.09896224,-0.36700000911951064,-0.36700000911951064,1.0
50000,1.4208189,99.0,-0.099143974,-0.44199999630451203,-0.44199999630451203,1.0
60000,1.4214685,99.0,-0.088153794,-0.2969999980926514,-0.2969999980926514,1.0
70000,1.4209235,99.0,-0.10771268,-0.5159999972581863,-0.5159999972581863,1.0
80000,1.4202398,99.0,-0.101439446,-0.27500001013278963,-0.27500001013278963,1.0
90000,1.4192443,99.0,-0.15192302,-0.37600000500679015,-0.37600000500679015,1.0
100000,1.418052,99.0,-0.12504116,-0.21100000143051148,-0.21100000143051148,1.0
110000,1.4178635,99.0,-0.12783192,-0.15600001215934753,-0.15600001215934753,1.0
120000,1.4171469,99.0,-0.13608862,-0.205,-0.205,1.0
130000,1.4170448,99.0,-0.12380277,-0.14099999785423278,-0.14099999785423278,1.0
140000,1.4166445,99.0,-0.09820103,-0.16300000369548798,-0.16300000369548798,1.0
150000,1.4166127,99.0,-0.08114083,-0.07599999845027923,-0.07599999845027923,1.0
160000,1.4158152,99.0,-0.086512566,-0.19200000464916228,-0.19200000464916228,1.0
170000,1.4158152,99.0,-0.06682717,-0.31100000083446505,-0.31100000083446505,1.0
180000,1.4158274,99.0,-0.09320324,-0.17900000631809235,-0.17900000631809235,1.0
190000,1.4158328,99.0,-0.022325594,-0.10799999594688416,-0.10799999594688416,1.0
200000,1.4149966,99.0,0.007646562,-0.01499999761581421,-0.01499999761581421,1.0
210000,1.4146334,99.0,-0.015559587,-0.09400001466274262,-0.09400001466274262,1.0
220000,1.4146487,99.0,0.02498356,-0.0690000069141388,-0.0690000069141388,1.0
230000,1.4146608,99.0,0.022047417,-0.2530000025033951,-0.2530000025033951,1.0
240000,1.4141597,99.0,0.03505278,-0.23799999237060546,-0.23799999237060546,1.0
250000,1.4135572,99.0,0.06894156,-0.047000002861022946,-0.047000002861022946,1.0
260000,1.4129162,99.0,0.09306588,0.026999999284744263,0.026999999284744263,1.0
270000,1.4121513,99.0,0.08775165,0.0459999942779541,0.0459999942779541,1.0
280000,1.4117371,99.0,0.12695205,-0.145,-0.145,1.0
290000,1.4101963,99.0,0.11529768,0.011999999284744262,0.011999999284744262,1.0
300000,1.4096311,99.0,0.12055049,-0.09599999547004699,-0.09599999547004699,1.0
310000,1.4074371,99.0,0.1516408,0.06400000095367432,0.06400000095367432,1.0
320000,1.4074112,99.0,0.09193433,-0.17800000980496405,-0.17800000980496405,1.0
330000,1.4070289,99.0,0.11558561,0.016999998688697816,0.016999998688697816,1.0
340000,1.4070289,99.0,0.105094716,0.0890000006556511,0.0890000006556511,1.0
350000,1.4043118,99.0,0.11344326,-0.057000004053115845,-0.057000004053115845,1.0
360000,1.4041564,99.0,0.11303653,0.12499999910593033,0.12499999910593033,1.0
370000,1.4018449,99.0,0.1473769,-0.015999997854232787,-0.015999997854232787,1.0
380000,1.4009,99.0,0.15320551,0.02100000262260437,0.02100000262260437,1.0
390000,1.3995863,99.0,0.122549914,0.1379999965429306,0.1379999965429306,1.0
400000,1.399053,99.0,0.128689,-0.03899999856948853,-0.03899999856948853,1.0
410000,1.3984164,99.0,0.16172,0.018000005483627318,0.018000005483627318,1.0
420000,1.3976891,99.0,0.16171563,0.03799999892711639,0.03799999892711639,1.0
430000,1.3969674,99.0,0.18280658,-0.015000000894069672,-0.015000000894069672,1.0
440000,1.3960922,99.0,0.18289585,-0.056000009775161744,-0.056000009775161744,1.0
450000,1.396071,99.0,0.1905273,0.07399999976158142,0.07399999976158142,1.0
460000,1.3960177,99.0,0.18181059,-0.0749999976158142,-0.0749999976158142,1.0
470000,1.3958399,99.0,0.17261355,-0.009999998211860657,-0.009999998211860657,1.0
480000,1.3950483,99.0,0.18344843,-0.11500000655651092,-0.11500000655651092,1.0
490000,1.3950344,99.0,0.15339956,-0.12699999734759332,-0.12699999734759332,1.0
500000,1.3944886,99.0,0.19945231,-0.02200000137090683,-0.02200000137090683,1.0
510000,1.3944886,99.0,0.1610238,0.020000007152557373,0.020000007152557373,1.0
520000,1.3940562,99.0,0.16003114,0.1689999982714653,0.1689999982714653,1.0
530000,1.3940412,99.0,0.16673864,0.231999996304512,0.231999996304512,1.0
540000,1.3929859,99.0,0.1727356,0.01800000309944153,0.01800000309944153,1.0
550000,1.3925489,99.0,0.19217932,-0.16800000190734862,-0.16800000190734862,1.0
560000,1.3914045,99.0,0.17067124,0.07900000214576722,0.07900000214576722,1.0
570000,1.3909272,99.0,0.16675688,0.16600000023841857,0.16600000023841857,1.0
580000,1.3905293,99.0,0.18186384,-0.008999992609024048,-0.008999992609024048,1.0
590000,1.3900744,99.0,0.18509184,0.12999999582767485,0.12999999582767485,1.0
600000,1.3900092,99.0,0.18390144,0.14899999737739564,0.14899999737739564,1.0
610000,1.3899324,99.0,0.19560337,-0.08700000286102295,-0.08700000286102295,1.0
620000,1.3897107,99.0,0.21231732,0.013000003099441527,0.013000003099441527,1.0
630000,1.3888314,99.0,0.20273949,0.03299999952316284,0.03299999952316284,1.0
640000,1.3881434,99.0,0.19813463,-0.027999998331069947,-0.027999998331069947,1.0
650000,1.3854879,99.0,0.20452791,-0.1380000066757202,-0.1380000066757202,1.0
660000,1.3853885,99.0,0.20740715,0.03999999433755875,0.03999999433755875,1.0
670000,1.3828207,99.0,0.19546367,-0.01700001060962677,-0.01700001060962677,1.0
680000,1.3828207,99.0,0.20002016,0.11799999862909318,0.11799999862909318,1.0
690000,1.3821365,99.0,0.20127714,0.10400000020861626,0.10400000020861626,1.0
700000,1.3821106,99.0,0.1979075,0.06200000107288361,0.06200000107288361,1.0
710000,1.3815737,99.0,0.19463465,0.00799999862909317,0.00799999862909317,1.0
720000,1.3813398,99.0,0.20662338,-0.14800000220537185,-0.14800000220537185,1.0
730000,1.381834,99.0,0.20121306,0.13100000202655793,0.13100000202655793,1.0
740000,1.3820394,99.0,0.2000947,-0.006000003814697266,-0.006000003814697266,1.0
750000,1.3828037,99.0,0.19986023,0.07599999785423278,0.07599999785423278,1.0
760000,1.3836821,99.0,0.18017958,-0.03199999690055847,-0.03199999690055847,1.0
770000,1.3835298,99.0,0.18706438,0.04400000274181366,0.04400000274181366,1.0
780000,1.3832976,99.0,0.17138101,0.08200000315904617,0.08200000315904617,1.0
790000,1.3831621,99.0,0.17156953,0.09600000321865082,0.09600000321865082,1.0
800000,1.3826238,99.0,0.18395372,-0.12099999964237212,-0.12099999964237212,1.0
810000,1.3818206,99.0,0.16985355,-0.1020000022649765,-0.1020000022649765,1.0
820000,1.3786756,99.0,0.18675496,0.07399999558925628,0.07399999558925628,1.0
830000,1.3785163,99.0,0.16219427,0.09899999856948853,0.09899999856948853,1.0
840000,1.373892,99.0,0.1919866,0.0709999942779541,0.0709999942779541,1.0
850000,1.373892,99.0,0.19335741,-0.05600000321865082,-0.05600000321865082,1.0
860000,1.3736233,99.0,0.16231984,-0.22699999302625656,-0.22699999302625656,1.0
870000,1.3736387,99.0,0.16882364,-0.20800000429153442,-0.20800000429153442,1.0
880000,1.3740449,99.0,0.13891223,-0.12800000309944154,-0.12800000309944154,1.0
890000,1.3741951,99.0,0.17645031,-0.016000005602836608,-0.016000005602836608,1.0
900000,1.3734535,99.0,0.13277747,0.05900000333786011,0.05900000333786011,1.0
910000,1.3731244,99.0,0.1470442,-0.12000000387430192,-0.12000000387430192,1.0
920000,1.3722453,99.0,0.14487098,0.07500000089406968,0.07500000089406968,1.0
930000,1.3712046,99.0,0.120494716,-0.2029999965429306,-0.2029999965429306,1.0
940000,1.3707393,99.0,0.12339508,-0.10200000613927841,-0.10200000613927841,1.0
950000,1.3702215,99.0,0.1263444,0.1049999988079071,0.1049999988079071,1.0
960000,1.3701435,99.0,0.12302449,-0.01899999737739563,-0.01899999737739563,1.0
970000,1.3698272,99.0,0.118051164,-0.28499999284744265,-0.28499999284744265,1.0
980000,1.3699452,99.0,0.1314961,0.07299999698996544,0.07299999698996544,1.0
990000,1.3704332,99.0,0.1180767,0.05300000309944153,0.05300000309944153,1.0
1000000,1.3704367,99.0,0.114678346,-0.15999999582767488,-0.15999999582767488,1.0
1010000,1.3700999,99.0,0.101545684,-0.07599999934434891,-0.07599999934434891,1.0
1020000,1.3700999,99.0,0.1157392,-0.16999999046325684,-0.16999999046325684,1.0
1030000,1.3711942,99.0,0.08931615,0.12000000104308128,0.12000000104308128,1.0
1040000,1.3712609,99.0,0.08765473,-0.04899999588727951,-0.04899999588727951,1.0
1050000,1.3720477,99.0,0.08700285,-0.28799999594688414,-0.28799999594688414,1.0
1060000,1.3723661,99.0,0.07936016,-0.24600001513957978,-0.24600001513957978,1.0
1070000,1.3717586,99.0,0.07746517,0.025999998450279237,0.025999998450279237,1.0
1080000,1.3714937,99.0,0.06157724,0.006999991834163666,0.006999991834163666,1.0
1090000,1.3718185,99.0,0.06897221,-0.001999990344047546,-0.001999990344047546,1.0
1100000,1.3722401,99.0,0.09009955,0.14199999690055848,0.14199999690055848,1.0
1110000,1.3734334,99.0,0.10855876,0.09199999809265137,0.09199999809265137,1.0
1120000,1.3748778,99.0,0.10945929,-0.1230000114440918,-0.1230000114440918,1.0
1130000,1.3752034,99.0,0.11328065,0.07000000417232513,0.07000000417232513,1.0
1140000,1.3763987,99.0,0.0856729,0.03100000202655792,0.03100000202655792,1.0
1150000,1.3764673,99.0,0.08591806,-0.046000000238418576,-0.046000000238418576,1.0
1160000,1.3767279,99.0,0.10348745,-0.14100000202655794,-0.14100000202655794,1.0
1170000,1.3767627,99.0,0.09644519,-0.32500001072883605,-0.32500001072883605,1.0
1180000,1.3775462,99.0,0.080355816,0.02399999529123306,0.02399999529123306,1.0
1190000,1.3775462,99.0,0.07911603,-0.018999997824430466,-0.018999997824430466,1.0
1200000,1.3772022,99.0,0.0838921,-0.07400000661611557,-0.07400000661611557,1.0
1210000,1.3771737,99.0,0.091286525,0.14100000530481338,0.14100000530481338,1.0
1220000,1.3763851,99.0,0.1091486,-0.18200000435113906,-0.18200000435113906,1.0
1230000,1.3760489,99.0,0.11209271,-0.006999999284744263,-0.006999999284744263,1.0
1240000,1.3765041,99.0,0.09866281,0.07400000095367432,0.07400000095367432,1.0
1250000,1.3767121,99.0,0.111225545,0.14499999582767487,0.14499999582767487,1.0
1260000,1.3768258,99.0,0.10142167,0.09799999535083771,0.09799999535083771,1.0
1270000,1.3769416,99.0,0.10027142,-0.018000013828277588,-0.018000013828277588,1.0
1280000,1.3764466,99.0,0.10600336,0.011999996304512024,0.011999996304512024,1.0
1290000,1.3758296,99.0,0.109113835,0.04699999749660492,0.04699999749660492,1.0
1300000,1.3757026,99.0,0.11142941,-0.1440000081062317,-0.1440000081062317,1.0
1310000,1.3752328,99.0,0.09577469,0.044999997019767764,0.044999997019767764,1.0
1320000,1.3755554,99.0,0.101655506,-0.3090000119805336,-0.3090000119805336,1.0
1330000,1.3769106,99.0,0.0923647,-0.16299999833106996,-0.16299999833106996,1.0
1340000,1.3768992,99.0,0.09065512,-0.18099998965859412,-0.18099998965859412,1.0
1350000,1.3760682,99.0,0.07295436,-0.10999999463558197,-0.10999999463558197,1.0
1360000,1.3760682,99.0,0.074001476,-0.4049999964237213,-0.4049999964237213,1.0
1370000,1.3769419,99.0,0.039778568,0.010999997854232788,0.010999997854232788,1.0
1380000,1.3770027,99.0,0.034454845,-0.15700000166893005,-0.15700000166893005,1.0
1390000,1.3768154,99.0,0.033348314,-0.08399999558925629,-0.08399999558925629,1.0
1400000,1.3767263,99.0,0.029458279,-0.14500000774860383,-0.14500000774860383,1.0
1410000,1.3771392,99.0,0.02808363,0.05099999666213989,0.05099999666213989,1.0
1420000,1.3773062,99.0,0.007536578,-0.0690000033378601,-0.0690000033378601,1.0
1430000,1.3776457,99.0,0.019147525,0.03500000655651093,0.03500000655651093,1.0
1440000,1.3780406,99.0,0.029343706,-0.12100000858306885,-0.12100000858306885,1.0
1450000,1.3782897,99.0,0.020531017,-0.07999999701976776,-0.07999999701976776,1.0
1460000,1.3785535,99.0,0.016916728,0.03599999666213989,0.03599999666213989,1.0
1470000,1.3778863,99.0,0.025285628,-0.050000008344650265,-0.050000008344650265,1.0
1480000,1.3752459,99.0,0.021679778,-0.1470000010728836,-0.1470000010728836,1.0
1490000,1.3747181,99.0,0.030751152,0.07399999976158142,0.07399999976158142,1.0
1500000,1.3727758,99.0,0.020397784,0.032999994158744814,0.032999994158744814,1.0
1510000,1.3727237,99.0,0.03717573,0.20500000149011613,0.20500000149011613,1.0
1520000,1.3713533,99.0,0.055120606,0.02100000113248825,0.02100000113248825,1.0
1530000,1.3713533,99.0,0.048546974,-0.24000000536441804,-0.24000000536441804,1.0
1540000,1.3714441,99.0,0.03636226,0.09199999213218689,0.09199999213218689,1.0
1550000,1.3714448,99.0,0.033817455,0.06699999988079071,0.06699999988079071,1.0
1560000,1.3718721,99.0,0.042589024,0.20299999117851258,0.20299999117851258,1.0
1570000,1.372052,99.0,0.05015761,-0.06700000286102295,-0.06700000286102295,1.0
1580000,1.3723261,99.0,0.08440974,-0.021999996900558472,-0.021999996900558472,1.0
1590000,1.3724405,99.0,0.0756029,0.17800000101327895,0.17800000101327895,1.0
1600000,1.3719078,99.0,0.0796904,0.04399999737739563,0.04399999737739563,1.0
1610000,1.3712755,99.0,0.07590891,0.03600000023841858,0.03600000023841858,1.0
1620000,1.3707384,99.0,0.072715394,-0.07800000786781311,-0.07800000786781311,1.0
1630000,1.3700854,99.0,0.07863431,0.04199999809265137,0.04199999809265137,1.0
1640000,1.3701022,99.0,0.08161303,0.05599999248981476,0.05599999248981476,1.0
1650000,1.3701775,99.0,0.085688375,-0.10900000751018524,-0.10900000751018524,1.0
1660000,1.3698198,99.0,0.080522396,-0.17799999296665192,-0.17799999296665192,1.0
1670000,1.3684233,99.0,0.090711765,0.04799999922513962,0.04799999922513962,1.0
1680000,1.3683819,99.0,0.083384685,0.05099999934434891,0.05099999934434891,1.0
1690000,1.3673941,99.0,0.08002363,-0.12300000369548797,-0.12300000369548797,1.0
1700000,1.3673941,99.0,0.07350794,-0.016000006198883057,-0.016000006198883057,1.0
1710000,1.3679606,99.0,0.07665869,-0.2760000026226044,-0.2760000026226044,1.0
1720000,1.3679835,99.0,0.07301918,0.09799999833106994,0.09799999833106994,1.0
1730000,1.3675838,99.0,0.0933589,-0.10399999767541886,-0.10399999767541886,1.0
1740000,1.3674276,99.0,0.0890363,0.05800000011920929,0.05800000011920929,1.0
1750000,1.3661201,99.0,0.07931075,-0.09599999785423279,-0.09599999785423279,1.0
1760000,1.3655585,99.0,0.06927033,0.11799999974668025,0.11799999974668025,1.0
1770000,1.364638,99.0,0.06984823,0.017000002562999727,0.017000002562999727,1.0
1780000,1.363549,99.0,0.073378146,-0.040000003576278684,-0.040000003576278684,1.0
1790000,1.3640305,99.0,0.07362675,-0.09000000357627869,-0.09000000357627869,1.0
1800000,1.3646337,99.0,0.08427542,-0.08399999648332596,-0.08399999648332596,1.0
1810000,1.3649584,99.0,0.07414171,-0.017999997735023497,-0.017999997735023497,1.0
1820000,1.3662031,99.0,0.03906235,0.037999989688396456,0.037999989688396456,1.0
1830000,1.3661449,99.0,0.050248183,-0.5479999911785126,-0.5479999911785126,1.0
1840000,1.3658445,99.0,0.048412863,0.04999999761581421,0.04999999761581421,1.0
1850000,1.3658699,99.0,0.057479776,0.12100000023841857,0.12100000023841857,1.0
1860000,1.3666116,99.0,0.065676324,0.06600000128149987,0.06600000128149987,1.0
1870000,1.3666115,99.0,0.07150433,0.032000003457069395,0.032000003457069395,1.0
1880000,1.3675112,99.0,0.08162837,-0.08000000059604645,-0.08000000059604645,1.0
1890000,1.3675543,99.0,0.07400631,0.10299998819828034,0.10299998819828034,1.0
1900000,1.3658777,99.0,0.08544093,-0.09599999785423279,-0.09599999785423279,1.0
1910000,1.3651721,99.0,0.09212708,0.0029999987781047822,0.0029999987781047822,1.0
1920000,1.3651578,99.0,0.098138295,0.13199999809265137,0.13199999809265137,1.0
1930000,1.3651658,99.0,0.08688198,-0.2699999868869781,-0.2699999868869781,1.0
1940000,1.365207,99.0,0.07538348,-0.19999999582767486,-0.19999999582767486,1.0
1950000,1.3652369,99.0,0.050755516,0.010000002682209014,0.010000002682209014,1.0
1960000,1.3646148,99.0,0.056661,-0.02400000751018524,-0.02400000751018524,1.0
1970000,1.3638439,99.0,0.053589396,-0.021000000834465026,-0.021000000834465026,1.0
1980000,1.3640039,99.0,0.057903323,-0.13199999928474426,-0.13199999928474426,1.0
1990000,1.3646258,99.0,0.05693693,-0.17499999284744264,-0.17499999284744264,1.0
2000000,1.3648037,99.0,0.054143477,0.13800000190734862,0.13800000190734862,1.0
2010000,1.3654574,99.0,0.034435213,-0.19200000107288362,-0.19200000107288362,1.0
2020000,1.365456,99.0,0.029793723,0.00399999737739563,0.00399999737739563,1.0
2030000,1.3653295,99.0,0.028307168,0.17999999940395356,0.17999999940395356,1.0
2040000,1.3653295,99.0,0.030341014,-0.08400000870227814,-0.08400000870227814,1.0
