Steps,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Entropy,Is Training
23510000,99.0,4.210153,4.1810000365972515,4.1810000365972515,0.26160997,1.0
23520000,99.0,4.218932,4.163000026345253,4.163000026345253,0.26160997,1.0
23530000,99.0,4.2547135,4.5290000385046,4.5290000385046,0.26120108,1.0
23540000,99.0,4.236579,3.9760000360012056,3.9760000360012056,0.26117703,1.0
23550000,99.0,4.23303,4.345000026226043,4.345000026226043,0.26108626,1.0
23560000,99.0,4.2229676,4.57200001180172,4.57200001180172,0.2610827,1.0
23570000,99.0,4.2531557,4.503000035583973,4.503000035583973,0.2609583,1.0
23580000,99.0,4.285028,4.456000014543533,4.456000014543533,0.2609021,1.0
23590000,99.0,4.2528644,4.022000029087066,4.022000029087066,0.26092142,1.0
23600000,99.0,4.270074,4.38799998998642,4.38799998998642,0.2609306,1.0
23610000,99.0,4.2636695,4.184000009298325,4.184000009298325,0.26114157,1.0
23620000,99.0,4.317672,4.388000014424324,4.388000014424324,0.26140505,1.0
23630000,99.0,4.287965,4.153000024855137,4.153000024855137,0.26148257,1.0
23640000,99.0,4.265329,3.9820000290870667,3.9820000290870667,0.26156884,1.0
23650000,99.0,4.32481,4.383999982774258,4.383999982774258,0.26146376,1.0
23660000,99.0,4.292726,4.3809999936819075,4.3809999936819075,0.2610221,1.0
23670000,99.0,4.2950163,4.465000022053719,4.465000022053719,0.26103297,1.0
23680000,99.0,4.2979918,3.955000002384186,3.955000002384186,0.26110533,1.0
23690000,99.0,4.3059807,4.230999958515167,4.230999958515167,0.26110533,1.0
23700000,99.0,4.2603326,4.260000024437904,4.260000024437904,0.26113448,1.0
23710000,99.0,4.260052,3.8259999680519106,3.8259999680519106,0.26113087,1.0
23720000,99.0,4.249246,3.957999995946884,3.957999995946884,0.26087943,1.0
23730000,99.0,4.2843523,4.299999992549419,4.299999992549419,0.2608655,1.0
23740000,99.0,4.275684,4.341999993920326,4.341999993920326,0.2605244,1.0
23750000,99.0,4.299026,4.2290000385046005,4.2290000385046005,0.26037195,1.0
23760000,99.0,4.297317,4.399999971985817,4.399999971985817,0.26019195,1.0
23770000,99.0,4.3060064,4.36900003105402,4.36900003105402,0.26011556,1.0
23780000,99.0,4.2788105,4.063000012040138,4.063000012040138,0.26007262,1.0
23790000,99.0,4.2866106,4.315000009536743,4.315000009536743,0.26002294,1.0
23800000,99.0,4.3183355,4.2200000160932545,4.2200000160932545,0.25995564,1.0
23810000,99.0,4.3112364,4.545000067949295,4.545000067949295,0.25986487,1.0
23820000,99.0,4.3025393,4.414999974370002,4.414999974370002,0.25989935,1.0
23830000,99.0,4.290557,4.127000049352646,4.127000049352646,0.26005676,1.0
23840000,99.0,4.309007,4.185000010132789,4.185000010132789,0.25999612,1.0
23850000,99.0,4.2734075,4.040000005364418,4.040000005364418,0.2597246,1.0
23860000,99.0,4.251702,4.147000020742416,4.147000020742416,0.2597246,1.0
23870000,99.0,4.274855,4.154999992251396,4.154999992251396,0.25895807,1.0
23880000,99.0,4.291684,4.46600003182888,4.46600003182888,0.25891775,1.0
23890000,99.0,4.290333,4.232000010609627,4.232000010609627,0.25882837,1.0
23900000,99.0,4.3171797,4.490000042319298,4.490000042319298,0.25882763,1.0
23910000,99.0,4.3484206,4.7230000215768815,4.7230000215768815,0.25844625,1.0
23920000,99.0,4.280611,3.9089999997615816,3.9089999997615816,0.25827736,1.0
23930000,99.0,4.2696505,4.006999981403351,4.006999981403351,0.25797006,1.0
23940000,99.0,4.2551017,4.254999996721745,4.254999996721745,0.2578385,1.0
23950000,99.0,4.2717037,4.259000018537044,4.259000018537044,0.2577151,1.0
23960000,99.0,4.2865386,4.360000019669533,4.360000019669533,0.25756556,1.0
23970000,99.0,4.2756004,4.161000010967254,4.161000010967254,0.25745964,1.0
23980000,99.0,4.2670436,4.248000022172928,4.248000022172928,0.257323,1.0
23990000,99.0,4.2210994,4.101000012159347,4.101000012159347,0.25726134,1.0
24000000,99.0,4.240756,4.224000028371811,4.224000028371811,0.2570233,1.0
24010000,99.0,4.258475,4.31299997806549,4.31299997806549,0.25686136,1.0
24020000,99.0,4.282973,4.3309999942779545,4.3309999942779545,0.25619295,1.0
24030000,99.0,4.251251,4.1359999930858615,4.1359999930858615,0.25619295,1.0
24040000,99.0,4.3154683,4.364000003933906,4.364000003933906,0.25585175,1.0
24050000,99.0,4.297607,4.064000024795532,4.064000024795532,0.25583553,1.0
24060000,99.0,4.2705398,4.0340000158548355,4.0340000158548355,0.2559637,1.0
24070000,99.0,4.278515,4.218999999761581,4.218999999761581,0.2559728,1.0
24080000,99.0,4.291723,4.29200002014637,4.29200002014637,0.2560674,1.0
24090000,99.0,4.259577,4.069000051021576,4.069000051021576,0.25610894,1.0
24100000,99.0,4.244688,3.863000048995018,3.863000048995018,0.25622645,1.0
24110000,99.0,4.276329,4.53700000166893,4.53700000166893,0.25627735,1.0
24120000,99.0,4.265856,4.10800003349781,4.10800003349781,0.25617716,1.0
24130000,99.0,4.266568,4.276000035405159,4.276000035405159,0.25604632,1.0
24140000,99.0,4.2496214,3.990999999642372,3.990999999642372,0.25603905,1.0
24150000,99.0,4.2191167,3.854000005722046,3.854000005722046,0.25603032,1.0
24160000,99.0,4.244622,4.187000033557415,4.187000033557415,0.25602618,1.0
24170000,99.0,4.2162466,4.125000002384186,4.125000002384186,0.25600868,1.0
24180000,99.0,4.224648,4.003000011742115,4.003000011742115,0.25600043,1.0
24190000,99.0,4.1970005,4.375000012218952,4.375000012218952,0.2559676,1.0
24200000,99.0,4.2003555,4.389000000953675,4.389000000953675,0.2559676,1.0
24210000,99.0,4.2087026,3.971000003814697,3.971000003814697,0.2560396,1.0
