Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,99.0,1.39676,0.5282828253929062,0.5282828253929062,1.0
20000,1.4189383,99.0,1.3526604,0.3849999964237213,0.3849999964237213,1.0
30000,1.4189696,99.0,1.1967797,0.4869999957084656,0.4869999957084656,1.0
40000,1.4220717,99.0,1.1742798,0.435999995470047,0.435999995470047,1.0
50000,1.4221143,99.0,1.0885104,0.3759999990463257,0.3759999990463257,1.0
60000,1.4263338,99.0,1.0363773,0.570999995470047,0.570999995470047,1.0
70000,1.4263737,99.0,1.0160413,0.55200000166893,0.55200000166893,1.0
80000,1.4303263,99.0,0.98777634,0.4929999971389771,0.4929999971389771,1.0
90000,1.4305491,99.0,0.9869614,0.4860000002384186,0.4860000002384186,1.0
100000,1.4346998,99.0,0.8555777,0.4709999966621399,0.4709999966621399,1.0
110000,1.4346998,99.0,0.8822661,0.55799999833107,0.55799999833107,1.0
120000,1.4393961,99.0,0.8311612,0.49600000023841856,0.49600000023841856,1.0
130000,1.4399115,99.0,0.81257457,0.4939999938011169,0.4939999938011169,1.0
140000,1.4399595,99.0,0.8745858,0.5619999957084656,0.5619999957084656,1.0
150000,1.4447118,99.0,0.7620789,0.5359999942779541,0.5359999942779541,1.0
160000,1.4447516,99.0,0.74568313,0.490999995470047,0.490999995470047,1.0
170000,1.4486955,99.0,0.7446802,0.545,0.545,1.0
180000,1.4487258,99.0,0.70609885,0.6429999887943267,0.6429999887943267,1.0
190000,1.451721,99.0,0.67433524,0.5869999885559082,0.5869999885559082,1.0
200000,1.4518691,99.0,0.6599408,0.5289999961853027,0.5289999961853027,1.0
210000,1.4543121,99.0,0.63044375,0.5760000026226044,0.5760000026226044,1.0
220000,1.4543121,99.0,0.6368804,0.6129999995231629,0.6129999995231629,1.0
230000,1.4582216,99.0,0.5723812,0.670999995470047,0.670999995470047,1.0
240000,1.4586157,99.0,0.57635176,0.6279999876022339,0.6279999876022339,1.0
250000,1.4586496,99.0,0.5650068,0.5899999964237214,0.5899999964237214,1.0
260000,1.4620076,99.0,0.5683381,0.7530000030994415,0.7530000030994415,1.0
270000,1.462031,99.0,0.5740552,0.6149999976158143,0.6149999976158143,1.0
280000,1.4643497,99.0,0.57499367,0.670999995470047,0.670999995470047,1.0
290000,1.4643563,99.0,0.5772334,0.7789999890327454,0.7789999890327454,1.0
300000,1.4649963,99.0,0.5685577,0.7259999978542327,0.7259999978542327,1.0
310000,1.4650568,99.0,0.5676535,0.6429999923706055,0.6429999923706055,1.0
320000,1.4662912,99.0,0.55510765,0.7219999849796295,0.7219999849796295,1.0
330000,1.4662912,99.0,0.54341716,0.7759999966621399,0.7759999966621399,1.0
340000,1.4673833,99.0,0.52944016,0.7219999873638153,0.7219999873638153,1.0
350000,1.4674566,99.0,0.52635396,0.6249999964237213,0.6249999964237213,1.0
360000,1.4674556,99.0,0.5170473,0.8239999961853027,0.8239999961853027,1.0
370000,1.4673673,99.0,0.5164854,0.5919999921321869,0.5919999921321869,1.0
380000,1.4673846,99.0,0.5143037,0.7929999947547912,0.7929999947547912,1.0
390000,1.4690933,99.0,0.51913357,0.7259999907016754,0.7259999907016754,1.0
400000,1.4690945,99.0,0.50400484,0.9040000116825104,0.9040000116825104,1.0
410000,1.4692161,99.0,0.497028,0.7089999985694885,0.7089999985694885,1.0
420000,1.4692416,99.0,0.52747786,0.9869999921321869,0.9869999921321869,1.0
430000,1.4702127,99.0,0.5380829,0.9569999980926513,0.9569999980926513,1.0
440000,1.4702127,99.0,0.56046987,0.8089999997615814,0.8089999997615814,1.0
450000,1.4705566,99.0,0.51581347,0.8639999902248383,0.8639999902248383,1.0
460000,1.4705713,99.0,0.5355494,1.0549999904632568,1.0549999904632568,1.0
470000,1.4705454,99.0,0.5069664,0.8880000007152558,0.8880000007152558,1.0
480000,1.4679815,99.0,0.53454703,1.03099999666214,1.03099999666214,1.0
490000,1.467973,99.0,0.5358184,1.0009999918937682,1.0009999918937682,1.0
500000,1.4671345,99.0,0.544502,1.079999990463257,1.079999990463257,1.0
510000,1.4671121,99.0,0.5638167,1.0180000007152556,1.0180000007152556,1.0
520000,1.4648992,99.0,0.5880715,1.044999988079071,1.044999988079071,1.0
530000,1.4648135,99.0,0.59705454,1.14599999666214,1.14599999666214,1.0
540000,1.4637777,99.0,0.6387075,1.15899999499321,1.15899999499321,1.0
550000,1.4637778,99.0,0.61679983,1.100999995470047,1.100999995470047,1.0
560000,1.4613734,99.0,0.6640586,1.2499999856948854,1.2499999856948854,1.0
570000,1.4611017,99.0,0.65623397,1.0649999940395356,1.0649999940395356,1.0
580000,1.461059,99.0,0.638376,1.1849999952316284,1.1849999952316284,1.0
590000,1.4568404,99.0,0.6437347,1.3419999802112579,1.3419999802112579,1.0
600000,1.4568205,99.0,0.68538594,1.1069999992847444,1.1069999992847444,1.0
610000,1.4548551,99.0,0.68778396,1.3010000097751617,1.3010000097751617,1.0
620000,1.4548538,99.0,0.7492687,1.2749999940395356,1.2749999940395356,1.0
630000,1.4547311,99.0,0.76856494,1.3709999978542329,1.3709999978542329,1.0
640000,1.4546875,99.0,0.77161974,1.339999986886978,1.339999986886978,1.0
650000,1.4534996,99.0,0.8104009,1.3649999916553497,1.3649999916553497,1.0
660000,1.4534994,99.0,0.818774,1.3229999876022338,1.3229999876022338,1.0
670000,1.4523083,99.0,0.85392,1.3189999842643738,1.3189999842643738,1.0
680000,1.4521925,99.0,0.82203966,1.3869999933242798,1.3869999933242798,1.0
690000,1.4521735,99.0,0.90286005,1.6139999961853027,1.6139999961853027,1.0
700000,1.4502815,99.0,0.9072082,1.562999985218048,1.562999985218048,1.0
710000,1.4502623,99.0,0.93624437,1.5550000083446502,1.5550000083446502,1.0
720000,1.448371,99.0,0.97717357,1.4729999971389771,1.4729999971389771,1.0
730000,1.4483333,99.0,0.96993446,1.5209999978542328,1.5209999978542328,1.0
740000,1.4445856,99.0,0.9592263,1.630999994277954,1.630999994277954,1.0
750000,1.4443619,99.0,1.0115178,1.4140000033378601,1.4140000033378601,1.0
760000,1.4411258,99.0,1.0615859,1.514000005722046,1.514000005722046,1.0
770000,1.4411258,99.0,1.0479448,1.740000011920929,1.740000011920929,1.0
780000,1.4391061,99.0,1.1336505,1.69700000166893,1.69700000166893,1.0
790000,1.438898,99.0,1.1226037,1.7729999792575837,1.7729999792575837,1.0
800000,1.4388762,99.0,1.1876122,1.5580000007152557,1.5580000007152557,1.0
810000,1.436723,99.0,1.2023365,1.61400000333786,1.61400000333786,1.0
820000,1.436692,99.0,1.2051303,1.6970000052452088,1.6970000052452088,1.0
830000,1.4336169,99.0,1.2313184,1.7669999969005585,1.7669999969005585,1.0
840000,1.4335924,99.0,1.2583208,1.723999991416931,1.723999991416931,1.0
850000,1.4311726,99.0,1.2595512,1.90599999666214,1.90599999666214,1.0
860000,1.4309531,99.0,1.2374119,1.76799999833107,1.76799999833107,1.0
870000,1.4276544,99.0,1.2658854,1.9440000116825105,1.9440000116825105,1.0
880000,1.4276544,99.0,1.2727531,1.7309999990463256,1.7309999990463256,1.0
890000,1.4259943,99.0,1.3012325,1.6450000059604646,1.6450000059604646,1.0
900000,1.4258215,99.0,1.3347129,2.010000009536743,2.010000009536743,1.0
910000,1.4257789,99.0,1.3684492,1.7589999866485595,1.7589999866485595,1.0
920000,1.4215647,99.0,1.3649912,1.9110000097751618,1.9110000097751618,1.0
930000,1.4215223,99.0,1.4062382,1.9130000007152557,1.9130000007152557,1.0
940000,1.4173261,99.0,1.4456582,1.937000000476837,1.937000000476837,1.0
950000,1.4172823,99.0,1.4295536,1.9009999978542327,1.9009999978542327,1.0
960000,1.4129503,99.0,1.48718,1.9650000083446502,1.9650000083446502,1.0
970000,1.4127425,99.0,1.4707719,1.9139999997615815,1.9139999997615815,1.0
980000,1.409755,99.0,1.5242753,1.9520000052452087,1.9520000052452087,1.0
990000,1.409755,99.0,1.5077175,1.963999991416931,1.963999991416931,1.0
1000000,1.4062299,99.0,1.5556793,1.8709999918937683,1.8709999918937683,1.0
1010000,1.405884,99.0,1.5512477,1.8710000109672547,1.8710000109672547,1.0
1020000,1.4058666,99.0,1.5776107,1.9650000035762787,1.9650000035762787,1.0
1030000,1.4041392,99.0,1.5573099,1.8179999923706054,1.8179999923706054,1.0
1040000,1.4041232,99.0,1.5334021,1.9570000100135803,1.9570000100135803,1.0
1050000,1.4025433,99.0,1.5287296,1.8969999885559081,1.8969999885559081,1.0
1060000,1.4025303,99.0,1.5257745,2.0070000183582306,2.0070000183582306,1.0
1070000,1.4012393,99.0,1.5262641,1.9380000066757201,1.9380000066757201,1.0
1080000,1.4011842,99.0,1.5526772,2.043000024557114,2.043000024557114,1.0
1090000,1.400467,99.0,1.6568103,1.9109999871253966,1.9109999871253966,1.0
1100000,1.400467,99.0,1.6535832,2.011999990940094,2.011999990940094,1.0
1110000,1.3982309,99.0,1.6661564,2.003999993801117,2.003999993801117,1.0
1120000,1.3979721,99.0,1.6415023,1.9840000009536742,1.9840000009536742,1.0
1130000,1.3979602,99.0,1.6099495,1.9530000030994414,1.9530000030994414,1.0
1140000,1.3967763,99.0,1.6201283,1.9349999976158143,1.9349999976158143,1.0
1150000,1.3967429,99.0,1.600716,2.0310000026226045,2.0310000026226045,1.0
1160000,1.3934442,99.0,1.6122681,2.062000011205673,2.062000011205673,1.0
1170000,1.393414,99.0,1.6097326,2.003000007867813,2.003000007867813,1.0
1180000,1.3904285,99.0,1.5729779,2.0760000109672547,2.0760000109672547,1.0
1190000,1.3903253,99.0,1.5905585,2.0170000064373017,2.0170000064373017,1.0
1200000,1.388233,99.0,1.5773005,2.0929999959468844,2.0929999959468844,1.0
1210000,1.3880671,99.0,1.586449,2.027000012397766,2.027000012397766,1.0
1220000,1.3847828,99.0,1.6043819,2.084000000953674,2.084000000953674,1.0
1230000,1.3847828,99.0,1.619138,2.004000005722046,2.004000005722046,1.0
1240000,1.3846922,99.0,1.6275624,2.069999990463257,2.069999990463257,1.0
1250000,1.3802103,99.0,1.661447,2.1089999961853025,2.1089999961853025,1.0
1260000,1.3801665,99.0,1.6460731,2.0800000011920927,2.0800000011920927,1.0
1270000,1.3758379,99.0,1.6446242,2.10600000500679,2.10600000500679,1.0
1280000,1.3757892,99.0,1.636425,1.9400000226497651,1.9400000226497651,1.0
1290000,1.370959,99.0,1.6851115,1.9970000052452088,1.9970000052452088,1.0
1300000,1.3707623,99.0,1.6748296,2.0250000298023223,2.0250000298023223,1.0
1310000,1.3677709,99.0,1.7195626,1.9339999878406524,1.9339999878406524,1.0
1320000,1.3677709,99.0,1.7327255,2.093000032901764,2.093000032901764,1.0
1330000,1.3649371,99.0,1.6755644,2.038999993801117,2.038999993801117,1.0
1340000,1.3646507,99.0,1.6947862,2.0869999980926512,2.0869999980926512,1.0
1350000,1.3646449,99.0,1.6978475,2.0380000245571135,2.0380000245571135,1.0
1360000,1.3640578,99.0,1.737434,2.0260000002384184,2.0260000002384184,1.0
1370000,1.3640367,99.0,1.77009,2.065,2.065,1.0
1380000,1.361943,99.0,1.7936863,2.1399999868869783,2.1399999868869783,1.0
1390000,1.3619108,99.0,1.7408432,2.016000007390976,2.016000007390976,1.0
1400000,1.3603231,99.0,1.6122141,2.0200000154972075,2.0200000154972075,1.0
1410000,1.3603067,99.0,1.6187282,1.9110000240802765,1.9110000240802765,1.0
1420000,1.3600031,99.0,1.7221336,2.086000009775162,2.086000009775162,1.0
1430000,1.3600031,99.0,1.6892154,2.0329999995231627,2.0329999995231627,1.0
1440000,1.3577025,99.0,1.755526,2.0849999952316285,2.0849999952316285,1.0
1450000,1.3574618,99.0,1.7513717,2.0299999928474426,2.0299999928474426,1.0
1460000,1.3574115,99.0,1.7201761,2.1169999945163727,2.1169999945163727,1.0
1470000,1.3524303,99.0,1.7335095,2.125000013113022,2.125000013113022,1.0
1480000,1.3523934,99.0,1.728479,2.04799999833107,2.04799999833107,1.0
1490000,1.3487264,99.0,1.7578529,1.956000007390976,1.956000007390976,1.0
1500000,1.3487103,99.0,1.7845025,2.129999997615814,2.129999997615814,1.0
1510000,1.3471127,99.0,1.8027767,2.127999999523163,2.127999999523163,1.0
1520000,1.3470284,99.0,1.7806021,2.033999989032745,2.033999989032745,1.0
1530000,1.345534,99.0,1.7832494,2.088999993801117,2.088999993801117,1.0
1540000,1.345534,99.0,1.7987508,2.0430000030994417,2.0430000030994417,1.0
1550000,1.3438658,99.0,1.7480601,2.1390000057220457,2.1390000057220457,1.0
1560000,1.3437159,99.0,1.7797121,2.1400000071525573,2.1400000071525573,1.0
