Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,99.0,0.29847556,-6.106060606060606,-6.106060606060606,1.0
20000,1.4189384,99.0,0.27777016,-7.02,-7.02,1.0
30000,1.4189383,99.0,0.70541894,-7.4275,-7.4275,1.0
40000,1.4182312,99.0,0.6643183,-8.09,-8.09,1.0
50000,1.4182314,99.0,0.4816249,-10.11,-10.11,1.0
60000,1.4189185,99.0,0.41492176,-13.59,-13.59,1.0
70000,1.4189185,99.0,0.43094757,-6.82,-6.82,1.0
80000,1.4189692,99.0,0.1477333,-12.64,-12.64,1.0
90000,1.418969,99.0,0.26412162,-5.47,-5.47,1.0
100000,1.4202139,99.0,-0.20633301,-19.3175,-19.3175,1.0
110000,1.4202138,99.0,0.06731171,-7.77,-7.77,1.0
120000,1.4204868,99.0,-0.42030975,-13.87,-13.87,1.0
130000,1.4204867,99.0,-0.41243804,-10.72,-10.72,1.0
140000,1.4195106,99.0,-0.70058525,-6.7975,-6.7975,1.0
150000,1.4195105,99.0,-0.60277784,-2.4775,-2.4775,1.0
160000,1.4187967,99.0,-0.7215151,-4.97,-4.97,1.0
170000,1.4187967,99.0,-0.7442141,-2.95,-2.95,1.0
180000,1.4194958,99.0,-0.9008607,-3.01,-3.01,1.0
190000,1.4194959,99.0,-0.8230643,-12.1,-12.1,1.0
200000,1.4196022,99.0,-0.9734001,-5.16,-5.16,1.0
210000,1.419602,99.0,-1.0969177,-4.97,-4.97,1.0
220000,1.419623,99.0,-1.0470778,-1.08,-1.08,1.0
230000,1.4196758,99.0,-1.0244251,-1.9175,-1.9175,1.0
240000,1.419676,99.0,-1.0085384,-2.255,-2.255,1.0
250000,1.4204297,99.0,-0.938103,-3.41,-3.41,1.0
260000,1.4205208,99.0,-0.90533483,-4.07,-4.07,1.0
270000,1.4205208,99.0,-1.01516,-0.55,-0.55,1.0
280000,1.4211829,99.0,-1.073132,-3.21,-3.21,1.0
290000,1.4211828,99.0,-1.0140018,-3.86,-3.86,1.0
300000,1.421904,99.0,-0.9734258,-1.97,-1.97,1.0
310000,1.4219038,99.0,-1.0130737,-2.7375,-2.7375,1.0
320000,1.4230139,99.0,-0.9948675,-2.8675,-2.8675,1.0
330000,1.4230138,99.0,-1.0525926,-0.2875,-0.2875,1.0
340000,1.4250238,99.0,-1.0282313,-1.9975,-1.9975,1.0
350000,1.4250239,99.0,-1.0063467,-0.2075,-0.2075,1.0
360000,1.4254667,99.0,-0.9348935,-0.3975,-0.3975,1.0
370000,1.4254665,99.0,-0.9764893,-4.5075,-4.5075,1.0
380000,1.4250308,99.0,-0.90876424,-0.26,-0.26,1.0
390000,1.4250311,99.0,-0.921496,-2.9075,-2.9075,1.0
400000,1.4251269,99.0,-0.7767048,-1.57,-1.57,1.0
410000,1.4251269,99.0,-0.7570913,-0.1375,-0.1375,1.0
420000,1.4241898,99.0,-0.7745505,-4.395,-4.395,1.0
430000,1.4241899,99.0,-0.6897967,0.075,0.075,1.0
440000,1.4237773,99.0,-0.6934447,0.0825,0.0825,1.0
450000,1.4235026,99.0,-0.6303844,-0.6725,-0.6725,1.0
460000,1.4235028,99.0,-0.5586456,-0.7075,-0.7075,1.0
470000,1.4242241,99.0,-0.52043855,0.0425,0.0425,1.0
480000,1.4243252,99.0,-0.57213897,-0.7925,-0.7925,1.0
490000,1.4243253,99.0,-0.61300504,-1.9275,-1.9275,1.0
500000,1.4236294,99.0,-0.6048681,-0.0075,-0.0075,1.0
510000,1.4236295,99.0,-0.62837434,-0.2925,-0.2925,1.0
520000,1.4208664,99.0,-0.61560225,-5.5375,-5.5375,1.0
530000,1.4208663,99.0,-0.554741,-1.73,-1.73,1.0
540000,1.4211128,99.0,-0.596674,0.095,0.095,1.0
550000,1.4211127,99.0,-0.57539797,-2.1725,-2.1725,1.0
560000,1.4215705,99.0,-0.4828604,-3.685,-3.685,1.0
570000,1.4215704,99.0,-0.46329066,-0.2225,-0.2225,1.0
580000,1.4232283,99.0,-0.3623945,-0.46,-0.46,1.0
590000,1.4232284,99.0,-0.40167046,0.095,0.095,1.0
600000,1.4239823,99.0,-0.4390647,-1.1475,-1.1475,1.0
610000,1.4239824,99.0,-0.34291238,0.1,0.1,1.0
620000,1.4240716,99.0,-0.33350846,-0.4475,-0.4475,1.0
630000,1.4240717,99.0,-0.41111097,-2.1075,-2.1075,1.0
640000,1.4268048,99.0,-0.3529352,0.155,0.155,1.0
650000,1.4268049,99.0,-0.32149065,-1.805,-1.805,1.0
660000,1.426669,99.0,-0.27654603,-0.16,-0.16,1.0
670000,1.426232,99.0,-0.21106882,-0.74,-0.74,1.0
680000,1.4262321,99.0,-0.21558161,-0.8475,-0.8475,1.0
690000,1.425362,99.0,-0.23673348,0.1574999988079071,0.1574999988079071,1.0
700000,1.4252509,99.0,-0.23912686,-0.14,-0.14,1.0
710000,1.4252509,99.0,-0.16655895,0.0725,0.0725,1.0
720000,1.4256775,99.0,-0.19171849,-0.755,-0.755,1.0
730000,1.4256777,99.0,-0.21530002,0.12,0.12,1.0
740000,1.425947,99.0,-0.17539337,0.095,0.095,1.0
750000,1.4259471,99.0,-0.18257517,0.0875,0.0875,1.0
760000,1.4248629,99.0,-0.10863264,-1.6275,-1.6275,1.0
770000,1.4248627,99.0,-0.12402623,0.175,0.175,1.0
780000,1.4255579,99.0,-0.051518153,0.1799999988079071,0.1799999988079071,1.0
790000,1.4255579,99.0,-0.12491166,-0.9475,-0.9475,1.0
800000,1.4261578,99.0,-0.090863936,-0.98,-0.98,1.0
810000,1.4261576,99.0,-0.077977605,0.19999999880790711,0.19999999880790711,1.0
820000,1.4268492,99.0,0.012786081,0.1325,0.1325,1.0
830000,1.4268492,99.0,-0.010802247,-1.1425,-1.1425,1.0
840000,1.4276887,99.0,-0.04079085,0.1449999988079071,0.1449999988079071,1.0
850000,1.4276887,99.0,-0.040510796,-1.5475,-1.5475,1.0
860000,1.42861,99.0,-0.012088862,0.2424999988079071,0.2424999988079071,1.0
870000,1.42861,99.0,-0.030871145,0.1125,0.1125,1.0
880000,1.4281482,99.0,0.002694623,0.09,0.09,1.0
890000,1.4272443,99.0,0.037672218,0.1675,0.1675,1.0
900000,1.4272443,99.0,0.061481014,0.15,0.15,1.0
910000,1.4248831,99.0,0.10564753,0.265,0.265,1.0
920000,1.4246064,99.0,0.06756398,0.1475,0.1475,1.0
930000,1.4246064,99.0,0.13914014,0.2249999988079071,0.2249999988079071,1.0
940000,1.4213645,99.0,0.1403708,0.2649999988079071,0.2649999988079071,1.0
950000,1.4213644,99.0,0.15325299,0.2549999988079071,0.2549999988079071,1.0
960000,1.4200238,99.0,0.14360416,0.0875,0.0875,1.0
970000,1.4200236,99.0,0.1464583,0.23249999761581422,0.23249999761581422,1.0
980000,1.4173983,99.0,0.14052,0.16999999880790712,0.16999999880790712,1.0
990000,1.4173983,99.0,0.1412304,-0.775,-0.775,1.0
1000000,1.4165646,99.0,0.13943315,0.225,0.225,1.0
1010000,1.4165647,99.0,0.16139251,0.11,0.11,1.0
1020000,1.4181278,99.0,0.17047149,-0.4075,-0.4075,1.0
1030000,1.4181277,99.0,0.10147709,0.115,0.115,1.0
1040000,1.419582,99.0,0.14947681,0.125,0.125,1.0
1050000,1.4195821,99.0,0.13088383,-0.2100000011920929,-0.2100000011920929,1.0
1060000,1.4195807,99.0,0.15414687,0.0724999988079071,0.0724999988079071,1.0
1070000,1.4195806,99.0,0.1611232,0.195,0.195,1.0
1080000,1.4187005,99.0,0.17074756,0.34,0.34,1.0
1090000,1.4187006,99.0,0.1915053,0.315,0.315,1.0
1100000,1.4177709,99.0,0.15866482,0.0925,0.0925,1.0
1110000,1.4163916,99.0,0.17743038,0.16999999880790712,0.16999999880790712,1.0
1120000,1.4163916,99.0,0.18207872,0.19,0.19,1.0
1130000,1.4154614,99.0,0.1726267,0.25,0.25,1.0
1140000,1.415343,99.0,0.1732601,0.1774999988079071,0.1774999988079071,1.0
1150000,1.4153429,99.0,0.18390144,0.2,0.2,1.0
1160000,1.41413,99.0,0.18187203,0.21,0.21,1.0
1170000,1.4141299,99.0,0.172934,0.19,0.19,1.0
1180000,1.4128287,99.0,0.17248578,0.095,0.095,1.0
1190000,1.4128287,99.0,0.15739445,-0.1825,-0.1825,1.0
1200000,1.4128754,99.0,0.1607975,0.14,0.14,1.0
1210000,1.4128755,99.0,0.16787364,0.1025,0.1025,1.0
1220000,1.4123553,99.0,0.14184712,0.2125,0.2125,1.0
1230000,1.4123553,99.0,0.1561273,0.38,0.38,1.0
1240000,1.4102457,99.0,0.14212903,-0.7225000011920929,-0.7225000011920929,1.0
1250000,1.4102458,99.0,0.14716436,0.22,0.22,1.0
1260000,1.4098651,99.0,0.1345138,0.2374999988079071,0.2374999988079071,1.0
1270000,1.409865,99.0,0.11040245,0.23499999880790712,0.23499999880790712,1.0
1280000,1.4095504,99.0,0.1311917,0.2449999976158142,0.2449999976158142,1.0
1290000,1.4095504,99.0,0.123252995,0.1625,0.1625,1.0
1300000,1.4076251,99.0,0.12964463,0.20249999880790712,0.20249999880790712,1.0
1310000,1.4076251,99.0,0.13074985,0.315,0.315,1.0
1320000,1.4070624,99.0,0.109609365,-1.1920928955078125e-09,-1.1920928955078125e-09,1.0
1330000,1.4066703,99.0,0.124500625,0.2275,0.2275,1.0
1340000,1.4066706,99.0,0.12852377,0.2825,0.2825,1.0
1350000,1.4066205,99.0,0.12883037,0.27749999761581423,0.27749999761581423,1.0
1360000,1.4066343,99.0,0.1480077,0.3375,0.3375,1.0
1370000,1.4066344,99.0,0.14894542,0.24,0.24,1.0
1380000,1.4058402,99.0,0.15076728,0.34499999761581424,0.34499999761581424,1.0
1390000,1.40584,99.0,0.13897003,0.165,0.165,1.0
1400000,1.4052273,99.0,0.13749827,0.3474999988079071,0.3474999988079071,1.0
1410000,1.4052274,99.0,0.13733737,0.004999998807907104,0.004999998807907104,1.0
1420000,1.4054136,99.0,0.14725552,-0.5675,-0.5675,1.0
1430000,1.4054139,99.0,0.15048338,0.1375,0.1375,1.0
1440000,1.4068881,99.0,0.13299069,0.2074999988079071,0.2074999988079071,1.0
1450000,1.4068884,99.0,0.13598803,0.2575,0.2575,1.0
1460000,1.4073561,99.0,0.13439417,0.24,0.24,1.0
1470000,1.4073561,99.0,0.12784944,0.2249999988079071,0.2249999988079071,1.0
1480000,1.4064581,99.0,0.12913436,0.185,0.185,1.0
1490000,1.406458,99.0,0.1404871,0.37249999880790713,0.37249999880790713,1.0
1500000,1.4056643,99.0,0.13674884,0.2424999988079071,0.2424999988079071,1.0
1510000,1.4056644,99.0,0.15143892,0.3574999988079071,0.3574999988079071,1.0
1520000,1.4045132,99.0,0.15060918,0.2499999988079071,0.2499999988079071,1.0
1530000,1.404513,99.0,0.16011822,0.2724999988079071,0.2724999988079071,1.0
1540000,1.4034903,99.0,0.14535144,0.2699999964237213,0.2699999964237213,1.0
1550000,1.4023477,99.0,0.1477831,0.2949999988079071,0.2949999988079071,1.0
1560000,1.4023477,99.0,0.16294499,0.3524999976158142,0.3524999976158142,1.0
1570000,1.4004632,99.0,0.16235612,-1.1025000035762786,-1.1025000035762786,1.0
1580000,1.4002408,99.0,0.15531857,0.2425,0.2425,1.0
1590000,1.4002405,99.0,0.15367594,0.3649999976158142,0.3649999976158142,1.0
1600000,1.4005262,99.0,0.13169307,-0.0675000011920929,-0.0675000011920929,1.0
1610000,1.4005262,99.0,0.12945503,0.135,0.135,1.0
1620000,1.4015493,99.0,0.11239332,0.2649999976158142,0.2649999976158142,1.0
1630000,1.4015496,99.0,0.10636101,0.165,0.165,1.0
1640000,1.3990461,99.0,0.1016984,0.3874999988079071,0.3874999988079071,1.0
1650000,1.3990461,99.0,0.11605308,0.2949999976158142,0.2949999976158142,1.0
1660000,1.3992044,99.0,0.122988574,0.2049999988079071,0.2049999988079071,1.0
1670000,1.3992044,99.0,0.116424344,0.2224999988079071,0.2224999988079071,1.0
1680000,1.3989714,99.0,0.1070086,-0.5925000011920929,-0.5925000011920929,1.0
1690000,1.3989714,99.0,0.108341604,0.3399999988079071,0.3399999988079071,1.0
1700000,1.3990418,99.0,0.0996351,0.1575,0.1575,1.0
1710000,1.3990419,99.0,0.07926772,0.0375,0.0375,1.0
1720000,1.3981278,99.0,0.094607614,0.42749999642372133,0.42749999642372133,1.0
1730000,1.3981279,99.0,0.09221093,0.1625,0.1625,1.0
