Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.7723796,99.0,0.045898255,-16.843434343434343,-16.843434343434343,1.0
20000,2.7723835,99.0,0.034263227,-15.17,-15.17,1.0
30000,2.766388,99.0,-0.13007288,-15.715,-15.715,1.0
40000,2.765585,99.0,-0.13141127,-11.615,-11.615,1.0
50000,2.7626848,99.0,-0.32048255,-13.33,-13.33,1.0
60000,2.763158,99.0,-0.35876876,-13.98,-13.98,1.0
70000,2.7586708,99.0,-0.46815094,-12.93,-12.93,1.0
80000,2.7534523,99.0,-0.6496129,-13.67,-13.67,1.0
90000,2.752395,99.0,-0.7698951,-15.135,-15.135,1.0
100000,2.752173,99.0,-0.7396679,-15.41,-15.41,1.0
110000,2.739328,99.0,-0.93077886,-14.175,-14.175,1.0
120000,2.737179,99.0,-0.94045186,-13.585,-13.585,1.0
130000,2.7296913,99.0,-1.1906357,-14.415,-14.415,1.0
140000,2.7228374,99.0,-1.019621,-10.915,-10.915,1.0
150000,2.7201004,99.0,-1.2747406,-11.405,-11.405,1.0
160000,2.7053635,99.0,-1.2034764,-9.115,-9.115,1.0
170000,2.6812663,99.0,-1.4330101,-10.985,-10.985,1.0
180000,2.6783981,99.0,-1.473912,-11.805,-11.805,1.0
190000,2.662399,99.0,-1.4266428,-9.905,-9.905,1.0
200000,2.645696,99.0,-1.5846149,-7.24,-7.24,1.0
210000,2.6420217,99.0,-1.5912677,-8.245,-8.245,1.0
220000,2.6083033,99.0,-1.4592611,-5.43,-5.43,1.0
230000,2.6173048,99.0,-1.881339,-7.61,-7.61,1.0
240000,2.5958314,99.0,-1.8212162,-6.07,-6.07,1.0
250000,2.585477,99.0,-1.7567792,-6.435,-6.435,1.0
260000,2.5696738,99.0,-1.9319282,-5.81,-5.81,1.0
270000,2.5582995,99.0,-1.8617151,-7.68,-7.68,1.0
280000,2.5209045,99.0,-1.8050195,-4.68,-4.68,1.0
