Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.0792952,99.0,-0.015446379,-16.282828282828284,-16.282828282828284,1.0
20000,2.0792966,99.0,-0.018508295,-14.195,-14.195,1.0
30000,2.0736315,99.0,-0.16581875,-13.095,-13.095,1.0
40000,2.0725405,99.0,-0.20180301,-15.295,-15.295,1.0
50000,2.066442,99.0,-0.39922792,-16.595,-16.595,1.0
60000,2.0655732,99.0,-0.46907204,-16.52,-16.52,1.0
70000,2.061905,99.0,-0.59122217,-12.47,-12.47,1.0
80000,2.0569112,99.0,-0.61679643,-11.64,-11.64,1.0
90000,2.053932,99.0,-0.73633325,-13.32,-13.32,1.0
100000,2.0538652,99.0,-0.8681252,-14.075,-14.075,1.0
110000,2.0381424,99.0,-0.9843157,-12.66,-12.66,1.0
120000,2.03783,99.0,-0.9655756,-10.435,-10.435,1.0
130000,2.0282304,99.0,-1.0127537,-12.055,-12.055,1.0
140000,2.0155816,99.0,-1.1380203,-12.09,-12.09,1.0
150000,2.0135732,99.0,-1.1613712,-10.33,-10.33,1.0
160000,1.9999323,99.0,-1.1977828,-6.84,-6.84,1.0
170000,1.987076,99.0,-1.2475415,-7.915,-7.915,1.0
180000,1.9811888,99.0,-1.2494576,-5.68,-5.68,1.0
190000,1.9752061,99.0,-1.5197891,-10.375,-10.375,1.0
200000,1.9741291,99.0,-1.5077552,-8.17,-8.17,1.0
210000,1.958548,99.0,-1.4857904,-7.855,-7.855,1.0
220000,1.9250219,99.0,-1.6988115,-8.11,-8.11,1.0
230000,1.9263626,99.0,-1.6365998,-6.825,-6.825,1.0
240000,1.8920693,99.0,-1.7019174,-5.41,-5.41,1.0
250000,1.9012424,99.0,-1.7953819,-7.235,-7.235,1.0
260000,1.9046416,99.0,-1.8526857,-5.915,-5.915,1.0
270000,1.8867067,99.0,-2.0312274,-8.47,-8.47,1.0
280000,1.8679757,99.0,-2.0388799,-5.075,-5.075,1.0
290000,1.8725575,99.0,-1.7518681,-3.245,-3.245,1.0
300000,1.8767027,99.0,-1.9219948,-5.63,-5.63,1.0
310000,1.8725463,99.0,-1.9132153,-3.985,-3.985,1.0
320000,1.8456796,99.0,-1.9380189,-5.395,-5.395,1.0
330000,1.8399296,99.0,-1.8656571,-3.145,-3.145,1.0
340000,1.8374332,99.0,-1.8743658,-5.0,-5.0,1.0
350000,1.8419778,99.0,-2.017036,-3.985,-3.985,1.0
360000,1.8243339,99.0,-1.5897502,-2.745,-2.745,1.0
370000,1.8160543,99.0,-1.8440672,-3.415,-3.415,1.0
380000,1.791688,99.0,-2.133908,-2.065,-2.065,1.0
390000,1.796009,99.0,-2.0827165,-3.095,-3.095,1.0
